epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,24263.3,0.24308,0.16666,0.8472,0.99748,0.99907,0.99483,0.99191,0.13582,0.09211,0.74366,0.001783,0.001783,0.001783
85,24552.3,0.23964,0.1644,0.84611,0.99766,0.99916,0.99481,0.9918,0.13691,0.09262,0.74398,0.001684,0.001684,0.001684
86,24841.6,0.23791,0.16285,0.84676,0.99758,0.99907,0.99482,0.99181,0.13604,0.09199,0.74375,0.001585,0.001585,0.001585
87,25130.5,0.23733,0.16286,0.84639,0.99748,0.99888,0.99483,0.99197,0.13546,0.09143,0.74266,0.001486,0.001486,0.001486
88,25419.6,0.23672,0.16287,0.84707,0.99766,0.9987,0.99482,0.99217,0.13324,0.09017,0.742,0.001387,0.001387,0.001387
89,25708.6,0.23143,0.16045,0.84426,0.99773,0.99861,0.99483,0.99226,0.13447,0.09048,0.74162,0.001288,0.001288,0.001288
90,25997.6,0.23163,0.16022,0.84447,0.99749,0.99863,0.99484,0.9922,0.13505,0.09023,0.7414,0.001189,0.001189,0.001189
91,26286.6,0.15873,0.11051,0.78662,0.99796,0.99882,0.99483,0.99232,0.13196,0.08906,0.74063,0.00109,0.00109,0.00109
92,26574.9,0.15299,0.10713,0.78603,0.99796,0.99935,0.99484,0.9922,0.13209,0.08891,0.73986,0.000991,0.000991,0.000991
93,26863,0.15116,0.10622,0.78555,0.99777,0.99938,0.99485,0.99234,0.13069,0.08848,0.7391,0.000892,0.000892,0.000892
94,27151.1,0.1481,0.10489,0.78417,0.99814,0.99922,0.99487,0.99248,0.12808,0.08753,0.7389,0.000793,0.000793,0.000793
95,27439,0.14411,0.10285,0.7831,0.99805,0.99922,0.99487,0.99246,0.12847,0.08777,0.73814,0.000694,0.000694,0.000694
96,27726.5,0.14307,0.10008,0.77969,0.99796,0.99919,0.99489,0.99253,0.12763,0.08735,0.73738,0.000595,0.000595,0.000595
97,28014,0.13912,0.09811,0.78109,0.99765,0.99935,0.9949,0.99259,0.12662,0.08647,0.73678,0.000496,0.000496,0.000496
98,28301.7,0.1392,0.09676,0.78159,0.99777,0.99944,0.99491,0.99265,0.1259,0.08583,0.73639,0.000397,0.000397,0.000397
99,28589.3,0.13464,0.09523,0.78134,0.99759,0.99964,0.99493,0.99265,0.125,0.08526,0.73618,0.000298,0.000298,0.000298
100,28877.1,0.13588,0.09489,0.78158,0.99768,0.99959,0.99494,0.99269,0.12455,0.08492,0.73596,0.000199,0.000199,0.000199
