epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,14727.1,0.36424,0.35333,0.23947,0.87052,0.9954,0.99616,0.99394,0.98295,0.99521,0.99598,0.99394,0.91258,0.20501,0.25681,0.14463,0.78028,0.0006338,0.0006338,0.0006338
71,14937.1,0.3598,0.34421,0.23577,0.86816,0.9956,0.99379,0.99389,0.98166,0.99542,0.99361,0.99361,0.90596,0.20124,0.25668,0.14295,0.77853,0.000614,0.000614,0.000614
72,15147.6,0.35906,0.35221,0.23434,0.86768,0.99468,0.99689,0.99443,0.98372,0.99432,0.99653,0.99422,0.91314,0.20344,0.25825,0.14417,0.77891,0.0005942,0.0005942,0.0005942
73,15357.3,0.3536,0.33732,0.23217,0.86641,0.99181,0.99702,0.99389,0.98265,0.99221,0.9947,0.99362,0.90563,0.20032,0.25352,0.14259,0.77859,0.0005744,0.0005744,0.0005744
74,15566.6,0.35329,0.34756,0.2345,0.8663,0.99489,0.99615,0.99378,0.98147,0.99416,0.99537,0.99348,0.90796,0.19831,0.26003,0.14168,0.77935,0.0005546,0.0005546,0.0005546
75,15776.5,0.35382,0.34029,0.2335,0.86744,0.99391,0.99762,0.99411,0.98432,0.99363,0.99768,0.99408,0.91147,0.18581,0.24382,0.1351,0.77648,0.0005348,0.0005348,0.0005348
76,15987.3,0.34549,0.3414,0.22856,0.86465,0.99598,0.99715,0.9943,0.98358,0.9953,0.99707,0.99429,0.91109,0.19185,0.24929,0.13759,0.7754,0.000515,0.000515,0.000515
77,16197.1,0.3427,0.33879,0.22907,0.86148,0.99526,0.99746,0.99409,0.98326,0.99489,0.99724,0.99408,0.91528,0.19978,0.24831,0.13975,0.77652,0.0004952,0.0004952,0.0004952
78,16408.1,0.34174,0.33132,0.22473,0.86487,0.99546,0.99616,0.99424,0.98485,0.99509,0.99579,0.99423,0.91453,0.19065,0.24419,0.13507,0.77497,0.0004754,0.0004754,0.0004754
79,16618.7,0.34162,0.33426,0.22642,0.863,0.99282,0.99744,0.99391,0.98524,0.99264,0.99726,0.99362,0.91849,0.18637,0.24373,0.13463,0.77559,0.0004556,0.0004556,0.0004556
80,16828.7,0.33951,0.33208,0.22548,0.86193,0.99478,0.99689,0.99417,0.98508,0.99474,0.99689,0.99416,0.9148,0.18366,0.24098,0.13287,0.77427,0.0004358,0.0004358,0.0004358
81,17038.3,0.33719,0.32251,0.22017,0.86218,0.99688,0.99653,0.99456,0.98525,0.9958,0.99643,0.99432,0.91694,0.18822,0.24529,0.13287,0.77406,0.000416,0.000416,0.000416
82,17247.9,0.331,0.32314,0.21697,0.8582,0.99598,0.99579,0.99443,0.98553,0.99543,0.99525,0.99418,0.91681,0.18771,0.24585,0.13163,0.77349,0.0003962,0.0003962,0.0003962
83,17458.3,0.33596,0.32932,0.22057,0.86093,0.99562,0.99848,0.99424,0.98604,0.99453,0.99738,0.99393,0.91612,0.17762,0.23786,0.12708,0.77133,0.0003764,0.0003764,0.0003764
84,17667.9,0.32339,0.31257,0.21599,0.8559,0.99537,0.99744,0.99435,0.98634,0.99446,0.99653,0.99415,0.91703,0.17722,0.23683,0.12684,0.7698,0.0003566,0.0003566,0.0003566
85,17878.4,0.33079,0.32187,0.21855,0.85592,0.99559,0.99598,0.99397,0.98234,0.99525,0.99521,0.99372,0.91307,0.20194,0.25598,0.13507,0.77409,0.0003368,0.0003368,0.0003368
86,18088.6,0.32594,0.32001,0.21525,0.85763,0.99644,0.99726,0.99402,0.98622,0.99571,0.99653,0.99381,0.91659,0.17145,0.23199,0.12301,0.77168,0.000317,0.000317,0.000317
87,18298.3,0.32415,0.31712,0.21229,0.85947,0.99598,0.99773,0.99382,0.98578,0.99489,0.99663,0.99357,0.9175,0.17167,0.23265,0.12475,0.77232,0.0002972,0.0002972,0.0002972
