epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,16616,0.5102,1.13358,0.33896,0.83424,0.95871,0.97168,0.98884,0.85015,0.93246,0.85444,0.89791,0.52953,0.69649,0.92929,0.37408,0.71962,0.000614,0.000614,0.000614
72,16848.2,0.50951,1.15838,0.33537,0.83632,0.96301,0.97207,0.98977,0.84897,0.93699,0.85207,0.89452,0.52522,0.7054,0.94419,0.37709,0.72053,0.0005942,0.0005942,0.0005942
73,17082.4,0.51858,1.13424,0.34203,0.83435,0.96711,0.96755,0.99005,0.85176,0.93876,0.85398,0.89695,0.52181,0.69105,0.93174,0.37323,0.71639,0.0005744,0.0005744,0.0005744
74,17314.1,0.50822,1.14861,0.33724,0.83409,0.9672,0.96855,0.99031,0.85851,0.94063,0.84989,0.90035,0.52996,0.66971,0.91983,0.36814,0.717,0.0005546,0.0005546,0.0005546
75,17542.4,0.50263,1.13265,0.33382,0.83139,0.95869,0.97148,0.98872,0.86068,0.93273,0.85827,0.90266,0.53171,0.6676,0.90199,0.37095,0.71514,0.0005348,0.0005348,0.0005348
76,17775.5,0.48728,1.12365,0.32496,0.83068,0.9622,0.96818,0.98926,0.85242,0.93782,0.85789,0.90084,0.52787,0.69463,0.91935,0.37342,0.72049,0.000515,0.000515,0.000515
77,18007.4,0.49057,1.11329,0.32553,0.83117,0.96167,0.96656,0.98924,0.85222,0.93366,0.85408,0.89907,0.53787,0.70521,0.95873,0.37218,0.71706,0.0004952,0.0004952,0.0004952
78,18238.8,0.49426,1.12713,0.32616,0.82994,0.9597,0.97506,0.98948,0.84779,0.93443,0.85177,0.8952,0.5359,0.71309,0.9575,0.374,0.71782,0.0004754,0.0004754,0.0004754
79,18467.9,0.49658,1.12704,0.32483,0.83222,0.96132,0.97168,0.98915,0.85324,0.93501,0.85674,0.90071,0.5365,0.70065,0.93965,0.37154,0.71774,0.0004556,0.0004556,0.0004556
80,18701,0.49103,1.13762,0.32449,0.8289,0.96443,0.97534,0.99027,0.85174,0.93783,0.85551,0.89895,0.53179,0.69611,0.94801,0.3715,0.71714,0.0004358,0.0004358,0.0004358
81,18932.8,0.48934,1.1005,0.32251,0.83,0.96003,0.97059,0.98945,0.85049,0.93549,0.85345,0.89656,0.53084,0.69688,0.92252,0.37192,0.71455,0.000416,0.000416,0.000416
82,19162.9,0.4817,1.12429,0.31705,0.83008,0.96443,0.97304,0.99024,0.85459,0.94225,0.85656,0.90067,0.53501,0.6908,0.92783,0.36639,0.7157,0.0003962,0.0003962,0.0003962
83,19394.2,0.48332,1.11167,0.32082,0.82997,0.96081,0.96832,0.9897,0.85242,0.93642,0.85217,0.89743,0.53434,0.69821,0.93739,0.36877,0.71555,0.0003764,0.0003764,0.0003764
84,19621.9,0.48852,1.11322,0.32245,0.8287,0.96415,0.9723,0.99053,0.85336,0.9401,0.85215,0.90045,0.53881,0.70205,0.90953,0.36665,0.71648,0.0003566,0.0003566,0.0003566
85,19852.1,0.47412,1.10814,0.31417,0.82676,0.96282,0.97095,0.99016,0.857,0.93802,0.85474,0.89962,0.53628,0.68594,0.91192,0.36316,0.71486,0.0003368,0.0003368,0.0003368
86,20081.8,0.47347,1.08162,0.31118,0.82872,0.9649,0.97199,0.99026,0.85991,0.93539,0.85427,0.89916,0.53489,0.67685,0.92163,0.35881,0.71372,0.000317,0.000317,0.000317
87,20315.2,0.47217,1.08951,0.30942,0.82817,0.96347,0.97031,0.98971,0.85703,0.93564,0.85498,0.89903,0.53541,0.68337,0.92272,0.36307,0.71357,0.0002972,0.0002972,0.0002972
88,20545.6,0.4738,1.11029,0.31261,0.82696,0.96734,0.97462,0.99106,0.86428,0.94119,0.85643,0.90216,0.54128,0.66775,0.90956,0.35788,0.71342,0.0002774,0.0002774,0.0002774
